Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Score,Rev_Change_Win,Rev_Pct,Rev_Grade,FundamentalPlusRev_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Val_Fail,Mom_Fail,Min_Fund_Factor
MU,Micron Technology Inc,Information Technology,Semiconductors,542.21,25.3606,10.521,16.6567,11.231600359603442,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.9920985756080895,597.1969,241.37,48.17399999999999,507.97907999999893,0.9917693008065369,40.839999999999996,0.44785,33.46,55.29700930177793,97.22345190182722,91.39739543979732,96.80140886080198,66.52631578947367,80.47857333791966,0.5921052631578947,1.0,0.9539473684210527,0.993421052631579,C+,A+,A,A+,microntechnologyinc,0.015669515669515688,0.9230769230769231,0.8903508771929824,52.0,90.0,84.89281911636292,0.015669515669515688,0.6842105263157895,B-,82.13120491686702,89.03508771929825,87.37818027812412,83.18059998911843,False,False,55.29700930177793
INDV,"Indivior Pharmaceuticals, Inc",Health Care,Pharmaceuticals,37.66,21.8647,3.7029,17.3367,100.77602354830077,7022.71,4.38,159.06,0.2113,29.4,0.9197005784280365,226.0606,1389.2,4.38,103.34951999999993,0.9197005784280365,97.80199999999995,0.2113,29.4,55.19640852974186,70.41120747413088,89.22305764411027,96.21992481203007,33.74125874125874,74.43109300069523,0.6370370370370371,0.7777777777777778,0.9481481481481482,0.9777777777777777,B-,B,A,A+,indiviorpharmaceuticalsinc,0.0,0.9230769230769231,0.8194444444444445,13.0,90.0,84.89281911636292,0.0,0.16666666666666666,D,72.80521887482111,81.94444444444446,83.12379431321185,74.86893396249926,False,False,33.74125874125874
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines,68.98,10.1227,0.6953,6.744,2.1703562933410523,21.36,5.24,23.14,0.08779999999999999,13.209999999999999,0.7879828326180258,66.2169,21.36,5.24,66.2169,0.7879828326180258,23.14,0.08779999999999999,13.209999999999999,93.18475297718686,66.96557943268535,58.78489326765189,78.84830983523017,42.722117202268436,72.15518941479279,0.9757281553398058,0.7330097087378641,0.6067961165048543,0.8106796116504854,A+,B,B-,B+,deltaairlinesinc,0.0,0.90625,0.8581081081081081,32.0,90.0,84.89281911636292,0.0,0.5652173913043478,C+,71.42740113501964,85.8108108108108,85.44361413303164,74.23064373462205,False,False,42.722117202268436
WDC,Western Digital Corp,Information Technology,"Technology Hardware, Storage & Peripherals",431.52,22.1614,12.2521,37.9683,27.028449021007926,269.21,32.04,90.82000000000001,0.29460000000000003,58.78,0.9625328767803086,881.843,241.37,32.04,507.97907999999893,0.9625328767803086,90.82000000000001,0.29460000000000003,53.78399999999993,43.896444130460374,92.3942862777518,91.46110197490259,91.57370486307329,80.48245614035088,75.63298475450577,0.4605263157894737,0.9802631578947368,0.9605263157894737,0.9802631578947368,C,A+,A,A+,westerndigitalcorp,0.054166666666666696,0.8666666666666667,0.8214285714285714,30.0,8.0,15.464616531534126,0.054166666666666696,0.8157894736842105,B+,78.68123036854085,82.14285714285714,55.47156089832794,74.03929647449827,False,False,43.896444130460374
NEM,Newmont Corporation,Materials,Gold,108.62,16.3666,5.1152,8.4803,3.492694345835263,118.49,21.34,21.72,0.47909999999999997,18.02,0.6968017549936498,110.9536,118.49,21.34,110.9536,0.6968017549936498,21.72,0.24867999999999998,14.592999999999996,55.555555555555564,87.20277307233829,93.65079365079366,77.4891774891775,69.69696969696969,75.23997741389046,0.6349206349206349,0.9365079365079365,0.9841269841269841,0.7777777777777778,B-,A,A+,B,newmontcorporation,0.03448275862068961,0.8620689655172413,0.8161764705882353,29.0,8.0,15.464616531534126,0.03448275862068961,0.6666666666666666,B-,77.20967438358743,81.61764705882352,55.15643484790776,72.7990264764515,False,False,55.555555555555564
CPRX,Catalyst Pharmaceuticals Inc,Health Care,Biotechnology,28.74,16.3762,5.9591,8.7245,3.689771603908025,28.29,19.78,24.32,0.43770000000000003,24.32,0.7172464840858621,18.4178,28.29,19.78,18.4178,0.7172464840858621,24.32,0.43686,24.32,65.12906846240179,67.98125677229378,88.2205513784461,62.29908103592315,40.909090909090914,69.39347252185536,0.7333333333333333,0.7481481481481481,0.9333333333333333,0.6296296296296297,B,B,A,B-,catalystpharmaceuticalsinc,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,84.89281911636292,0.0,0.5454545454545454,C+,68.48438161276445,82.89473684210526,83.69396975180832,71.52629924057322,False,False,40.909090909090914
INVA,Innoviva Inc,Health Care,Pharmaceuticals,23.11,6.3129,4.1617,7.978,1.4706537440897027,3397.08,14.67,30.599999999999998,0.3981,21.88,0.7640579710144927,23.9142,1389.2,14.67,23.9142,0.7640579710144927,30.599999999999998,0.3981,21.88,77.49158249158249,86.99955333879252,86.71679197994986,67.14285714285714,62.82051282051282,76.88057571421302,0.8666666666666667,0.9629629629629629,0.9185185185185185,0.6814814814814815,B+,A,A-,B-,innovivainc,0.018181818181818188,0.8181818181818182,0.734375,11.0,0.0,0.0,0.018181818181818188,0.6060606060606061,B-,78.16262699626431,73.4375,44.0625,71.34260159701145,False,False,62.82051282051282
THC,Tenet Healthcare Corp,Health Care,Health Care Facilities,183.27,9.4281,0.7342,5.6971,3.776232421573173,27.35,6.57,40.550000000000004,0.1764,9.8,0.40206276190146667,26.1408,27.35,6.57,26.1408,0.40206276190146667,40.550000000000004,0.1764,9.8,92.8226711560045,54.02681764157748,70.42606516290726,62.31267824734249,40.316205533596836,69.08008325751194,0.9925925925925926,0.5703703703703704,0.725925925925926,0.6370370370370371,A+,C+,B,B-,tenethealthcarecorp,0.0,0.8571428571428571,0.8106060606060607,28.0,90.0,84.89281911636292,0.0,0.45454545454545453,C,68.11170381087163,81.06060606060606,82.5934912829088,71.00806130527907,False,False,40.316205533596836
ENVA,Enova International Inc,Financials,Consumer Finance,170.93,13.7929,2.3241,11.125,3.160442421261662,56.49,19.67,24.45,0.4035,5.7700000000000005,0.9344206204379563,86.6048,56.49,19.67,72.80332,0.9344206204379563,24.45,0.4035,5.7700000000000005,38.25500049265938,69.43331134598748,84.92462311557789,89.82569095477388,99.05033238366572,67.64670636221159,0.30392156862745096,0.8627450980392157,0.8529411764705882,0.9215686274509803,C-,B+,B+,A-,enovainternationalinc,0.06593406593406603,0.9230769230769231,0.8194444444444445,13.0,38.0,54.97714786972108,0.06113886113886121,1.0,A+,72.55173960057816,81.94444444444446,71.1575258145551,70.6077859847272,True,False,38.25500049265938
APP,Applovin Corp,Information Technology,Application Software,460.0,46.3983,26.6425,38.5168,72.90246917493423,114.67,45.98,249.2,0.6847,68.05,0.3907766472558179,64.5855,114.67,45.98,64.5855,0.3907766472558179,109.87799999999994,0.44785,53.78399999999993,29.413929118097254,90.60288089315222,97.66137754270558,75.56877580303359,63.1578947368421,70.00315800443786,0.2631578947368421,0.9736842105263158,0.9967105263157895,0.8223684210526315,D+,A+,A+,B+,applovincorp,0.02941176470588236,0.8823529411764706,0.8397435897435898,34.0,68.0,76.02119809746753,0.02941176470588236,0.631578947368421,B-,71.31894747812207,83.97435897435898,80.7930946236024,70.03475764677314,True,False,29.413929118097254
